conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str
1947163851923001633,Mon Jul 21 05:16:53 +0000 2025,9,Gerakan ayah teladan Indonesia ( Gati ) Sekolah bersama ayah ( sebaya ) Antar anak biar dapet tebar pesona ke mama mam muda https://t.co/HpHbS9EAqo,1947163851923001633,https://pbs.twimg.com/media/GwW3NCkXUAAv-di.jpg,,in,0,0,0,https://x.com/x/status/1947163851923001633,1143027278151946241
1947163377127522788,Mon Jul 21 05:15:00 +0000 2025,0,Rio Dewanto menjalankan peran ayah dengan tanggung jawab rutin antar putrinya ke sekolah. Meski Salma sakit Rio tetap optimis putrinya segera pulih. https://t.co/DTQDK39kH8,1947163377127522788,,,in,0,1,0,https://x.com/x/status/1947163377127522788,48890883
1947136043129655724,Mon Jul 21 03:26:23 +0000 2025,0,SENJATA Awali Pekan: Apel Kedisiplinan dan Arahan Kepala Kantor Terkait Gerakan Ayah Antar Anak Sekolah Selengkapnya di: https://t.co/ngEmASHdNN #SENJATAKemenagJembrana #ASNBerintegritas #KemenagJembrana #ZonaIntegritas #ModerasiBeragama #KerukunanUmat #KedisiplinanASN https://t.co/ZxcJNjoeVp,1947136043129655724,https://pbs.twimg.com/media/GwWd1kcbgAAudfM.jpg,,in,0,0,0,https://x.com/x/status/1947136043129655724,1384316641530433537
1947054569827057808,Sun Jul 20 22:02:38 +0000 2025,0,Ayah Diajak Ikut Berperan Aktif Antar Anak ke Sekolah https://t.co/CPJhormSPe,1947054569827057808,,,in,0,0,0,https://x.com/x/status/1947054569827057808,798478258119405568
1946943177027653809,Sun Jul 20 14:40:00 +0000 2025,7,Dikira sepele tapi ternyata ayah antar anak ke sekolah bisa berdampak besar untuk masa depan mereka! Ini alasan ilmiah dan pandangan para pakar soal ayah yang antar anak. Via @detik_edu https://t.co/zIqC029roL,1946943177027653809,,,in,0,0,0,https://x.com/x/status/1946943177027653809,69183155
1946904085279715392,Sun Jul 20 12:04:40 +0000 2025,0,Soal Aturan Ayah Antar Anak pada Hari Pertama Sekolah Najeela Shihab Bilang Begini https://t.co/0koS9wLzU5,1946904085279715392,,,in,0,0,0,https://x.com/x/status/1946904085279715392,1668188086067683331
1946767457525678518,Sun Jul 20 03:01:45 +0000 2025,0,Sumber: detikcom https://t.co/8F83qha373,1946767457525678518,,,in,0,0,0,https://x.com/x/status/1946767457525678518,1810639657467838464
1946764558791577756,Sun Jul 20 02:50:14 +0000 2025,0,Momen Sekali Seumur Hidup Ayah Dua Anak Ini Ungkap Pentingnya Antar Anak Masuk Sekolah Perdana https://t.co/IpUvJN3vT8,1946764558791577756,,,in,0,0,0,https://x.com/x/status/1946764558791577756,362336352
1946764458103062633,Sun Jul 20 02:49:50 +0000 2025,0,Gerakan Ayah Antar Anak Sekolah Disebut Belum Cukup Atasi Krisis Fatherless https://t.co/eWQynN0DiO,1946764458103062633,,,in,0,0,0,https://x.com/x/status/1946764458103062633,362336352
1946152862263980091,Sat Jul 19 13:04:24 +0000 2025,0,@ceritapolitisi Kaka Menteri Wihaji ajak para bapa lebih peduli keluarga itu langkah bagus! Gerakan Ayah Antar Sekolah bantu perkuat ikatan keluarga. Pemerintah su lihat pentingnya peran bapa dalam didik anak! ️,1946556731951390747,,ceritapolitisi,in,0,0,0,https://x.com/x/status/1946556731951390747,2266567014
1946454992338272451,Sat Jul 19 06:20:08 +0000 2025,1,Program GATI Peran Ayah Antar Anak ke Sekolah https://t.co/rsaDqVy1cO https://t.co/3ps7OtS6lA,1946454992338272451,https://pbs.twimg.com/media/GwMyfTNbcAAY-eS.jpg,,in,0,0,0,https://x.com/x/status/1946454992338272451,1559175427926605824
1946434537992655113,Sat Jul 19 04:58:51 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan https://t.co/Y5eEeQmLtr,1946434537992655113,,,in,0,0,0,https://x.com/x/status/1946434537992655113,817669043792420864
1946434327635427570,Sat Jul 19 04:58:01 +0000 2025,0,Sekolah Cikal Sambut Baik Gerakan Ayah Antar Anak Perkuat Peran Ayah dalam Pendidikan...https://t.co/Y5eEeQmdDT,1946434327635427570,,,in,0,0,0,https://x.com/x/status/1946434327635427570,817669043792420864
